"contactID","timestamp","customerID","cuJob","cuPhone","q1OverallSat","q2AgentFriendliness","q3UnderstandingIssues","q4Timeliness","q5Variety","q6Resolution","q7Pricing"
"PH10-60965-62374-86104-6438","1993-11-21 23:06:46","CU10-56360-guhr-52028587","Garment/textile technologist","1-646-102-0592x7402",8,10,10,1,5,5,1
"PH10-30536-50779-18191-7619","1966-09-29 17:17:56","CU10-62839-53102-96306-7838","Forensic scientist","(247)913-2540",9,1,10,6,10,5,2
"PH10-99214-80753-55377-6498","1942-03-28 07:47:50","CU10-79633-71069-16490-7389","Primary school teacher","689-547-2314",9,9,7,6,8,7,9
"PH10-7470-31037-71754-5094","2018-03-19 01:38:43","CU10-68543-42870-31364-8834","Secondary school teacher","930.336.9919",4,9,4,7,4,10,10
"PH10-49446-75144-17547-8498","1978-08-03 21:34:00","CU10-87143-qkga-55036588","Journalist, broadcasting","725-279-9658",8,2,4,6,3,6,5
"PH10-31786-afqh-50854805","1995-02-22 17:36:46","CU10-55004-udsk-82638698","Banker","(700)883-6902x5519",4,9,10,1,3,7,5
"PH10-16722-90051-13494-1402","1942-02-13 17:05:54","CU10-4480-51727-40658-9256","Contractor","(172)198-9240x74284",10,9,7,5,3,4,2
"PH10-30089-2768-31033-7446","1967-12-14 05:13:14","CU10-60270-10141-91685-710","Broadcast presenter","02912165507",9,3,9,10,8,6,10
"PH10-96225-63445-12830-4287","1964-08-27 23:09:41","CU10-17976-1013-403-243","Food technologist","(586)866-6846x8143",9,3,9,1,9,7,8
"PH10-43158-7364-80259-3319","1933-03-20 06:47:50","CU10-15278-qoje-13502234","Lecturer, further education","711-390-3784",8,9,8,5,10,9,10
"PH10-70912-lisj-56088768","1960-02-24 09:39:27","CU10-4980-fyqa-33429566","Electrical engineer","282-388-6424",8,7,10,1,10,6,10
"PH10-47931-34548-60110-853","2011-04-20 08:15:37","CU10-40046-28526-65182-1491","Facilities manager","068.976.5900",8,3,10,10,8,9,2
"PH10-84186-qhro-99251598","2001-01-18 18:19:18","CU10-71347-98284-28758-8765","Race relations officer","(369)769-3040x63178",9,2,9,10,8,5,10
"PH10-81026-82202-83485-7353","1926-11-04 02:43:19","CU10-79571-49828-94611-4501","Chief Financial Officer","1-320-556-6656x2521",9,1,8,10,3,6,2
"PH10-20519-98563-56673-2875","2012-12-02 12:58:32","CU10-72590-16530-60988-3638","Patent attorney","+09(4)2566846264",5,10,10,1,3,9,10
"PH10-80232-33781-50940-4994","1973-05-05 11:36:29","CU10-68698-24964-66128-5874","Food technologist","351-125-2568",9,9,4,1,8,9,9
"PH10-10758-uofr-30721903","1930-03-26 13:40:53","CU10-5390-kmay-63521600","Embryologist, clinical","498-137-9128",9,3,5,1,8,8,2
"PH10-77374-oytm-59662415","1975-08-19 22:45:42","CU10-62137-32646-90410-7988","Public affairs consultant","985-230-7360",1,10,4,6,9,5,9
"PH10-84478-aogc-10070635","1930-05-20 17:29:11","CU10-75694-7656-17784-4451","Engineer, building services","956.251.1066x389",9,9,10,2,8,9,2
